Cancer;Loss;Accuracy;Precision;Recall;AUC;F1 Score
Breast Cancer;15.01465892791748;0.7701149582862854;0.77734375;0.7624521255493164;0.9277052879333496;0.7698258780791233
Cervical Cancer;139.59796142578125;0.5138888955116272;0.52173912525177;0.5;0.8082478046417236;0.5106382454125774
Hepatobiliary Cancer;45.65217971801758;0.7755101919174194;0.7916666865348816;0.7755101919174194;0.9193904995918274;0.7835051081666712
Colorectal Cancer;44.78718948364258;0.7062937021255493;0.716312050819397;0.7062937021255493;0.8946626782417297;0.7112675506051858
Adrenocortical Carcinoma;471.1900329589844;0.6315789222717285;0.6315789222717285;0.6315789222717285;0.8339152932167053;0.6315788722717325
Bladder Cancer;135.4642333984375;0.4399999976158142;0.4444444477558136;0.4399999976158142;0.7544825673103333;0.44221100571263267
Esophagogastric Cancer;70.58612823486328;0.4897959232330322;0.4930555522441864;0.4829931855201721;0.805182933807373;0.48797245097344305
Glioma;22.265260696411133;0.8421052694320679;0.8421052694320679;0.8421052694320679;0.9410303235054016;0.8421052194320708
Head and Neck Cancer;67.69503021240234;0.49193549156188965;0.5;0.49193549156188965;0.8382021188735962;0.4959349132611464
Renal Cell Carcinoma;10.002483367919922;0.8421052694320679;0.8461538553237915;0.8421052694320679;0.9589105248451233;0.8441246579552579
Leukemia;113.08081817626953;0.6969696879386902;0.8148148059844971;0.6666666865348816;0.9399329423904419;0.7333332922773275
Non-Hodgkin Lymphoma;1867.5296630859375;0.3333333432674408;0.3333333432674408;0.3333333432674408;0.6397947669029236;0.3333332932674483
Non-Small Cell Lung Cancer;26.067480087280273;0.6434426307678223;0.6541666388511658;0.6434426307678223;0.8850852847099304;0.6487602708764821
Mesothelioma;518.266357421875;0.42105263471603394;0.4444444477558136;0.42105263471603394;0.7929663062095642;0.4324323856908339
Ovarian Epithelial Tumor;251.4321746826172;0.47999998927116394;0.4791666567325592;0.46000000834465027;0.7916869521141052;0.4693877047008469
Pancreatic Cancer;358.8131103515625;0.25;0.2777777910232544;0.25;0.7105435132980347;0.2631578508193092
Pheochromocytoma;269.5587463378906;0.6538461446762085;0.6538461446762085;0.6538461446762085;0.8731990456581116;0.6538460946762122
Miscellaneous Neuroepithelial Tumor;2739.575439453125;0.5;0.5;0.5;0.7349033355712891;0.49999995000000497
Prostate Cancer;23.61294174194336;0.8632478713989258;0.8771929740905762;0.8547008633613586;0.9460133910179138;0.8658008161779142
Soft Tissue Sarcoma;177.5772705078125;0.5423728823661804;0.5517241358757019;0.5423728823661804;0.798084020614624;0.5470084965158253
Thyroid Cancer;26.307214736938477;0.8720930218696594;0.8823529481887817;0.8720930218696594;0.9633908867835999;0.8771929352219138
Thymic Tumor;391.52593994140625;0.42307692766189575;0.4399999976158142;0.42307692766189575;0.8114549517631531;0.43137250027630364
Endometrial Cancer;53.593379974365234;0.5744680762290955;0.568345308303833;0.5602836608886719;0.8573819398880005;0.5642856429583217
Ocular Melanoma;631.9743041992188;0.6153846383094788;0.6153846383094788;0.6153846383094788;0.8350913524627686;0.6153845883094828
